dataset,dialogue_id,utterance_idx,speaker,split,utterance,intention,donation_amount,donation_made,traditional_summary,scd_summary,scm_summary,binary_label,category
P4G,20180717-200206_41_live,0,ER,valid,"Hey, how are you doing, have you ever heard of a charity called Save the Children?",Initiate conversation and introduce the topic of a charity,0.5,1,"ER is trying to persuade EE to donate to the charity Save the Children, which supports children in developing countries. EE initially declines, stating they already contribute to charitable causes. ER continues to appeal to EE's empathy, emphasizing the impact of small donations. Eventually, EE agrees to donate 50 cents, and ER expresses gratitude for the contribution.","The conversation begins with ER introducing a charity and persistently trying to persuade EE to contribute. EE initially declines, citing prior commitments to charitable work. ER employs emotional appeals and logical arguments to counter EE's reluctance, emphasizing the potential impact of small donations. Despite EE's consistent refusals, ER continues to press the issue, eventually succeeding when EE agrees to a small donation. The conversation concludes with ER expressing gratitude and appreciation for EE's contribution.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth by expressing gratitude and concern for children in need, using empathetic language to appeal to EE's emotions. ER also shows competence by providing detailed information about the charity and effectively countering EE's objections with logical arguments and potential solutions.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE displays low warmth by repeatedly refusing to engage with ER's requests and showing skepticism about the impact of small donations. However, EE demonstrates competence by articulating a clear rationale for their stance, such as their past charitable contributions and a broader understanding of systemic issues affecting children in need.",0,no_express_donated
P4G,20180717-200206_41_live,1,EE,valid,No I havent.,Respond to the question and indicate lack of knowledge about the charity,0.5,1,"ER is trying to persuade EE to donate to the charity Save the Children, which supports children in developing countries. EE initially declines, stating they already contribute to charitable causes. ER continues to appeal to EE's empathy, emphasizing the impact of small donations. Eventually, EE agrees to donate 50 cents, and ER expresses gratitude for the contribution.","The conversation begins with ER introducing a charity and persistently trying to persuade EE to contribute. EE initially declines, citing prior commitments to charitable work. ER employs emotional appeals and logical arguments to counter EE's reluctance, emphasizing the potential impact of small donations. Despite EE's consistent refusals, ER continues to press the issue, eventually succeeding when EE agrees to a small donation. The conversation concludes with ER expressing gratitude and appreciation for EE's contribution.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth by expressing gratitude and concern for children in need, using empathetic language to appeal to EE's emotions. ER also shows competence by providing detailed information about the charity and effectively countering EE's objections with logical arguments and potential solutions.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE displays low warmth by repeatedly refusing to engage with ER's requests and showing skepticism about the impact of small donations. However, EE demonstrates competence by articulating a clear rationale for their stance, such as their past charitable contributions and a broader understanding of systemic issues affecting children in need.",0,no_express_donated
P4G,20180717-200206_41_live,2,EE,valid,What is it about?,Request more information about the charity,0.5,1,"ER is trying to persuade EE to donate to the charity Save the Children, which supports children in developing countries. EE initially declines, stating they already contribute to charitable causes. ER continues to appeal to EE's empathy, emphasizing the impact of small donations. Eventually, EE agrees to donate 50 cents, and ER expresses gratitude for the contribution.","The conversation begins with ER introducing a charity and persistently trying to persuade EE to contribute. EE initially declines, citing prior commitments to charitable work. ER employs emotional appeals and logical arguments to counter EE's reluctance, emphasizing the potential impact of small donations. Despite EE's consistent refusals, ER continues to press the issue, eventually succeeding when EE agrees to a small donation. The conversation concludes with ER expressing gratitude and appreciation for EE's contribution.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth by expressing gratitude and concern for children in need, using empathetic language to appeal to EE's emotions. ER also shows competence by providing detailed information about the charity and effectively countering EE's objections with logical arguments and potential solutions.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE displays low warmth by repeatedly refusing to engage with ER's requests and showing skepticism about the impact of small donations. However, EE demonstrates competence by articulating a clear rationale for their stance, such as their past charitable contributions and a broader understanding of systemic issues affecting children in need.",0,no_express_donated
P4G,20180717-200206_41_live,3,ER,valid,"It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?",Provide information about the charity and gauge interest,0.5,1,"ER is trying to persuade EE to donate to the charity Save the Children, which supports children in developing countries. EE initially declines, stating they already contribute to charitable causes. ER continues to appeal to EE's empathy, emphasizing the impact of small donations. Eventually, EE agrees to donate 50 cents, and ER expresses gratitude for the contribution.","The conversation begins with ER introducing a charity and persistently trying to persuade EE to contribute. EE initially declines, citing prior commitments to charitable work. ER employs emotional appeals and logical arguments to counter EE's reluctance, emphasizing the potential impact of small donations. Despite EE's consistent refusals, ER continues to press the issue, eventually succeeding when EE agrees to a small donation. The conversation concludes with ER expressing gratitude and appreciation for EE's contribution.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth by expressing gratitude and concern for children in need, using empathetic language to appeal to EE's emotions. ER also shows competence by providing detailed information about the charity and effectively countering EE's objections with logical arguments and potential solutions.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE displays low warmth by repeatedly refusing to engage with ER's requests and showing skepticism about the impact of small donations. However, EE demonstrates competence by articulating a clear rationale for their stance, such as their past charitable contributions and a broader understanding of systemic issues affecting children in need.",0,no_express_donated
P4G,20180717-200206_41_live,4,EE,valid,No thank you.,Decline interest in the charity,0.5,1,"ER is trying to persuade EE to donate to the charity Save the Children, which supports children in developing countries. EE initially declines, stating they already contribute to charitable causes. ER continues to appeal to EE's empathy, emphasizing the impact of small donations. Eventually, EE agrees to donate 50 cents, and ER expresses gratitude for the contribution.","The conversation begins with ER introducing a charity and persistently trying to persuade EE to contribute. EE initially declines, citing prior commitments to charitable work. ER employs emotional appeals and logical arguments to counter EE's reluctance, emphasizing the potential impact of small donations. Despite EE's consistent refusals, ER continues to press the issue, eventually succeeding when EE agrees to a small donation. The conversation concludes with ER expressing gratitude and appreciation for EE's contribution.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth by expressing gratitude and concern for children in need, using empathetic language to appeal to EE's emotions. ER also shows competence by providing detailed information about the charity and effectively countering EE's objections with logical arguments and potential solutions.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE displays low warmth by repeatedly refusing to engage with ER's requests and showing skepticism about the impact of small donations. However, EE demonstrates competence by articulating a clear rationale for their stance, such as their past charitable contributions and a broader understanding of systemic issues affecting children in need.",0,no_express_donated
P4G,20180717-200206_41_live,5,ER,valid,May I ask why?,Seek reasons for the lack of interest,0.5,1,"ER is trying to persuade EE to donate to the charity Save the Children, which supports children in developing countries. EE initially declines, stating they already contribute to charitable causes. ER continues to appeal to EE's empathy, emphasizing the impact of small donations. Eventually, EE agrees to donate 50 cents, and ER expresses gratitude for the contribution.","The conversation begins with ER introducing a charity and persistently trying to persuade EE to contribute. EE initially declines, citing prior commitments to charitable work. ER employs emotional appeals and logical arguments to counter EE's reluctance, emphasizing the potential impact of small donations. Despite EE's consistent refusals, ER continues to press the issue, eventually succeeding when EE agrees to a small donation. The conversation concludes with ER expressing gratitude and appreciation for EE's contribution.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth by expressing gratitude and concern for children in need, using empathetic language to appeal to EE's emotions. ER also shows competence by providing detailed information about the charity and effectively countering EE's objections with logical arguments and potential solutions.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE displays low warmth by repeatedly refusing to engage with ER's requests and showing skepticism about the impact of small donations. However, EE demonstrates competence by articulating a clear rationale for their stance, such as their past charitable contributions and a broader understanding of systemic issues affecting children in need.",0,no_express_donated
P4G,20180717-200206_41_live,6,ER,valid,"Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?",Attempt to persuade by emphasizing the impact of the help,0.5,1,"ER is trying to persuade EE to donate to the charity Save the Children, which supports children in developing countries. EE initially declines, stating they already contribute to charitable causes. ER continues to appeal to EE's empathy, emphasizing the impact of small donations. Eventually, EE agrees to donate 50 cents, and ER expresses gratitude for the contribution.","The conversation begins with ER introducing a charity and persistently trying to persuade EE to contribute. EE initially declines, citing prior commitments to charitable work. ER employs emotional appeals and logical arguments to counter EE's reluctance, emphasizing the potential impact of small donations. Despite EE's consistent refusals, ER continues to press the issue, eventually succeeding when EE agrees to a small donation. The conversation concludes with ER expressing gratitude and appreciation for EE's contribution.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth by expressing gratitude and concern for children in need, using empathetic language to appeal to EE's emotions. ER also shows competence by providing detailed information about the charity and effectively countering EE's objections with logical arguments and potential solutions.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE displays low warmth by repeatedly refusing to engage with ER's requests and showing skepticism about the impact of small donations. However, EE demonstrates competence by articulating a clear rationale for their stance, such as their past charitable contributions and a broader understanding of systemic issues affecting children in need.",0,no_express_donated
P4G,20180717-200206_41_live,7,EE,valid,I am already making a difference in many children lives.,State current involvement in helping children,0.5,1,"ER is trying to persuade EE to donate to the charity Save the Children, which supports children in developing countries. EE initially declines, stating they already contribute to charitable causes. ER continues to appeal to EE's empathy, emphasizing the impact of small donations. Eventually, EE agrees to donate 50 cents, and ER expresses gratitude for the contribution.","The conversation begins with ER introducing a charity and persistently trying to persuade EE to contribute. EE initially declines, citing prior commitments to charitable work. ER employs emotional appeals and logical arguments to counter EE's reluctance, emphasizing the potential impact of small donations. Despite EE's consistent refusals, ER continues to press the issue, eventually succeeding when EE agrees to a small donation. The conversation concludes with ER expressing gratitude and appreciation for EE's contribution.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth by expressing gratitude and concern for children in need, using empathetic language to appeal to EE's emotions. ER also shows competence by providing detailed information about the charity and effectively countering EE's objections with logical arguments and potential solutions.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE displays low warmth by repeatedly refusing to engage with ER's requests and showing skepticism about the impact of small donations. However, EE demonstrates competence by articulating a clear rationale for their stance, such as their past charitable contributions and a broader understanding of systemic issues affecting children in need.",0,no_express_donated
P4G,20180717-200206_41_live,8,ER,valid,"That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?",Acknowledge the effort and suggest contributing to the specific charity,0.5,1,"ER is trying to persuade EE to donate to the charity Save the Children, which supports children in developing countries. EE initially declines, stating they already contribute to charitable causes. ER continues to appeal to EE's empathy, emphasizing the impact of small donations. Eventually, EE agrees to donate 50 cents, and ER expresses gratitude for the contribution.","The conversation begins with ER introducing a charity and persistently trying to persuade EE to contribute. EE initially declines, citing prior commitments to charitable work. ER employs emotional appeals and logical arguments to counter EE's reluctance, emphasizing the potential impact of small donations. Despite EE's consistent refusals, ER continues to press the issue, eventually succeeding when EE agrees to a small donation. The conversation concludes with ER expressing gratitude and appreciation for EE's contribution.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth by expressing gratitude and concern for children in need, using empathetic language to appeal to EE's emotions. ER also shows competence by providing detailed information about the charity and effectively countering EE's objections with logical arguments and potential solutions.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE displays low warmth by repeatedly refusing to engage with ER's requests and showing skepticism about the impact of small donations. However, EE demonstrates competence by articulating a clear rationale for their stance, such as their past charitable contributions and a broader understanding of systemic issues affecting children in need.",0,no_express_donated
P4G,20180717-200206_41_live,9,EE,valid,I have donated 15 years of my life to charity,Highlight past significant contributions to charity,0.5,1,"ER is trying to persuade EE to donate to the charity Save the Children, which supports children in developing countries. EE initially declines, stating they already contribute to charitable causes. ER continues to appeal to EE's empathy, emphasizing the impact of small donations. Eventually, EE agrees to donate 50 cents, and ER expresses gratitude for the contribution.","The conversation begins with ER introducing a charity and persistently trying to persuade EE to contribute. EE initially declines, citing prior commitments to charitable work. ER employs emotional appeals and logical arguments to counter EE's reluctance, emphasizing the potential impact of small donations. Despite EE's consistent refusals, ER continues to press the issue, eventually succeeding when EE agrees to a small donation. The conversation concludes with ER expressing gratitude and appreciation for EE's contribution.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth by expressing gratitude and concern for children in need, using empathetic language to appeal to EE's emotions. ER also shows competence by providing detailed information about the charity and effectively countering EE's objections with logical arguments and potential solutions.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE displays low warmth by repeatedly refusing to engage with ER's requests and showing skepticism about the impact of small donations. However, EE demonstrates competence by articulating a clear rationale for their stance, such as their past charitable contributions and a broader understanding of systemic issues affecting children in need.",0,no_express_donated
