dialogue_id,predicted_class,predicted_label,confidence
20180719-122534_38_live,1,expressed_donate_donated,0.9804383516311646
20180719-165941_192_live,0,expressed_donate_did,0.918944776058197
20180723-034654_121_live,0,expressed_donate_did,0.9064152121543885
20180723-052203_936_live,1,expressed_donate_donated,0.9033710956573486
20180723-075339_567_live,0,expressed_donate_did,0.9402764916419983
20180723-094242_630_live,0,expressed_donate_did,0.8279151618480682
20180723-120746_371_live,0,expressed_donate_did,0.9253569483757019
20180808-011341_389_live,1,expressed_donate_donated,0.8177520036697388
20180808-013755_350_live,1,expressed_donate_donated,0.8221201539039612
20180808-032041_562_live,0,expressed_donate_did,0.9379714012145997
20180808-032124_114_live,1,expressed_donate_donated,0.8432344555854797
20180808-032545_201_live,0,expressed_donate_did,0.8591377139091492
20180808-040435_931_live,3,no_express_no_donate,0.8556446313858033
20180808-052501_689_live,3,no_express_no_donate,0.8467479348182678
20180825-042845_49_live,1,expressed_donate_donated,0.9846386909484863
20180825-044613_233_live,1,expressed_donate_donated,0.8552108407020569
20180825-063009_943_live,3,no_express_no_donate,0.8969347238540649
20180825-070857_925_live,0,expressed_donate_did,0.8975446820259094
20180825-075627_48_live,0,expressed_donate_did,0.8833123087882996
20180825-075630_493_live,1,expressed_donate_donated,0.8882281422615051
20180825-075658_709_live,0,expressed_donate_did,0.934396231174469
20180825-080131_220_live,1,expressed_donate_donated,0.9723732173442841
20180825-080436_824_live,1,expressed_donate_donated,0.9474509954452515
20180825-112434_860_live,0,expressed_donate_did,0.9393268465995789
20180826-043247_456_live,0,expressed_donate_did,0.9236646056175232
20180826-044626_167_live,0,expressed_donate_did,0.8930973172187805
20180826-053811_708_live,3,no_express_no_donate,0.8491348028182983
20180826-054028_444_live,1,expressed_donate_donated,0.8909829258918762
20180826-072151_442_live,3,no_express_no_donate,0.7933083653450013
20180826-073320_803_live,0,expressed_donate_did,0.9406733274459839
20180826-174933_275_live,3,no_express_no_donate,0.8831310510635376
20180826-174957_757_live,1,expressed_donate_donated,0.9917915165424347
20180826-175233_4_live,0,expressed_donate_did,0.938998031616211
20180826-220838_141_live,0,expressed_donate_did,0.9365010023117065
20180827-035202_980_live,3,no_express_no_donate,0.9795747250318527
20180827-050740_909_live,1,expressed_donate_donated,0.7894740700721741
20180902-222227_892_live,1,expressed_donate_donated,0.8020580410957336
20180903-103835_253_live,0,expressed_donate_did,0.8614025413990021
20180903-145436_470_live,0,expressed_donate_did,0.933870792388916
20180904-032932_423_live,1,expressed_donate_donated,0.8843862891197205
20180904-045349_715_live,0,expressed_donate_did,0.8980929851531982
