dialogue_id,buyer_target,seller_target,sale_price,utterance_idx,speaker,utterance,intention,scm_summary,scd_summary,politeness_theory_stage2_summary,traditional_summary,relational_summary,score
C_4566b2e6938a4a6a8e714e799d780e71,120,200,145.0,0,Buyer,"Hi,I am interested in your board!",Expressing interest in the product,"user1 (Buyer):
  warmth: high
  competence: high
  explanation: The buyer engages politely and shows interest by asking questions, indicating warmth. Their negotiation skills and willingness to compromise by offering to pick up the item demonstrate competence.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller provides information about the product and responds to the buyer's offer, showing competence. However, their responses are brief and lack engagement, indicating lower warmth.","The conversation begins with the buyer expressing interest and inquiring about the product's details. The seller provides some information but lacks specifics. The buyer then attempts to negotiate the price, while the seller maintains a firm stance on the board's value, emphasizing its condition and new components. The buyer continues to negotiate, suggesting a compromise by offering to pick up the item, indicating a willingness to reach a mutually agreeable deal.","In this negotiation, participants manage face-threatening acts (FTAs) and face-raising acts (FRAs) using politeness strategies to maintain cooperation. The buyer's interest in the item raises the seller's positive face, while the seller respects the buyer's negative face by allowing conversation control. Despite potential FTAs, like admitting lack of knowledge or rejecting offers, both parties use justifications and compromises to mitigate threats. This balance of FTAs and FRAs fosters mutual respect and facilitates a constructive dialogue toward agreement.","The buyer is interested in purchasing a skateboard from the seller and inquires about its wood type. The seller doesn't know the specific wood but mentions the brand. The seller declines a low offer, stating the board is nearly new, with new bone bearings. The buyer proposes picking it up for $120.","The buyer seems interested and somewhat persistent, trying to negotiate the price, indicating a level of respect for the seller's position but also a desire to reach a compromise. The seller appears firm and somewhat defensive about the board's value, suggesting a moderate level of frustration but also a willingness to engage. There is a basic level of respect and trust, but limited rapport or alignment on the price.",0.3125
C_4566b2e6938a4a6a8e714e799d780e71,120,200,145.0,1,Seller,"Hi, do you have any questions?",Offering assistance and inviting questions,"user1 (Buyer):
  warmth: high
  competence: high
  explanation: The buyer engages politely and shows interest by asking questions, indicating warmth. Their negotiation skills and willingness to compromise by offering to pick up the item demonstrate competence.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller provides information about the product and responds to the buyer's offer, showing competence. However, their responses are brief and lack engagement, indicating lower warmth.","The conversation begins with the buyer expressing interest and inquiring about the product's details. The seller provides some information but lacks specifics. The buyer then attempts to negotiate the price, while the seller maintains a firm stance on the board's value, emphasizing its condition and new components. The buyer continues to negotiate, suggesting a compromise by offering to pick up the item, indicating a willingness to reach a mutually agreeable deal.","In this negotiation, participants manage face-threatening acts (FTAs) and face-raising acts (FRAs) using politeness strategies to maintain cooperation. The buyer's interest in the item raises the seller's positive face, while the seller respects the buyer's negative face by allowing conversation control. Despite potential FTAs, like admitting lack of knowledge or rejecting offers, both parties use justifications and compromises to mitigate threats. This balance of FTAs and FRAs fosters mutual respect and facilitates a constructive dialogue toward agreement.","The buyer is interested in purchasing a skateboard from the seller and inquires about its wood type. The seller doesn't know the specific wood but mentions the brand. The seller declines a low offer, stating the board is nearly new, with new bone bearings. The buyer proposes picking it up for $120.","The buyer seems interested and somewhat persistent, trying to negotiate the price, indicating a level of respect for the seller's position but also a desire to reach a compromise. The seller appears firm and somewhat defensive about the board's value, suggesting a moderate level of frustration but also a willingness to engage. There is a basic level of respect and trust, but limited rapport or alignment on the price.",0.3125
C_4566b2e6938a4a6a8e714e799d780e71,120,200,145.0,2,Buyer,Do you know what wood it is made out of?,Inquiring about the material of the product,"user1 (Buyer):
  warmth: high
  competence: high
  explanation: The buyer engages politely and shows interest by asking questions, indicating warmth. Their negotiation skills and willingness to compromise by offering to pick up the item demonstrate competence.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller provides information about the product and responds to the buyer's offer, showing competence. However, their responses are brief and lack engagement, indicating lower warmth.","The conversation begins with the buyer expressing interest and inquiring about the product's details. The seller provides some information but lacks specifics. The buyer then attempts to negotiate the price, while the seller maintains a firm stance on the board's value, emphasizing its condition and new components. The buyer continues to negotiate, suggesting a compromise by offering to pick up the item, indicating a willingness to reach a mutually agreeable deal.","In this negotiation, participants manage face-threatening acts (FTAs) and face-raising acts (FRAs) using politeness strategies to maintain cooperation. The buyer's interest in the item raises the seller's positive face, while the seller respects the buyer's negative face by allowing conversation control. Despite potential FTAs, like admitting lack of knowledge or rejecting offers, both parties use justifications and compromises to mitigate threats. This balance of FTAs and FRAs fosters mutual respect and facilitates a constructive dialogue toward agreement.","The buyer is interested in purchasing a skateboard from the seller and inquires about its wood type. The seller doesn't know the specific wood but mentions the brand. The seller declines a low offer, stating the board is nearly new, with new bone bearings. The buyer proposes picking it up for $120.","The buyer seems interested and somewhat persistent, trying to negotiate the price, indicating a level of respect for the seller's position but also a desire to reach a compromise. The seller appears firm and somewhat defensive about the board's value, suggesting a moderate level of frustration but also a willingness to engage. There is a basic level of respect and trust, but limited rapport or alignment on the price.",0.3125
C_4566b2e6938a4a6a8e714e799d780e71,120,200,145.0,3,Seller,I do not know specifically but the brand is a gravity skateboard.,Providing brand information and admitting lack of specific knowledge,"user1 (Buyer):
  warmth: high
  competence: high
  explanation: The buyer engages politely and shows interest by asking questions, indicating warmth. Their negotiation skills and willingness to compromise by offering to pick up the item demonstrate competence.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller provides information about the product and responds to the buyer's offer, showing competence. However, their responses are brief and lack engagement, indicating lower warmth.","The conversation begins with the buyer expressing interest and inquiring about the product's details. The seller provides some information but lacks specifics. The buyer then attempts to negotiate the price, while the seller maintains a firm stance on the board's value, emphasizing its condition and new components. The buyer continues to negotiate, suggesting a compromise by offering to pick up the item, indicating a willingness to reach a mutually agreeable deal.","In this negotiation, participants manage face-threatening acts (FTAs) and face-raising acts (FRAs) using politeness strategies to maintain cooperation. The buyer's interest in the item raises the seller's positive face, while the seller respects the buyer's negative face by allowing conversation control. Despite potential FTAs, like admitting lack of knowledge or rejecting offers, both parties use justifications and compromises to mitigate threats. This balance of FTAs and FRAs fosters mutual respect and facilitates a constructive dialogue toward agreement.","The buyer is interested in purchasing a skateboard from the seller and inquires about its wood type. The seller doesn't know the specific wood but mentions the brand. The seller declines a low offer, stating the board is nearly new, with new bone bearings. The buyer proposes picking it up for $120.","The buyer seems interested and somewhat persistent, trying to negotiate the price, indicating a level of respect for the seller's position but also a desire to reach a compromise. The seller appears firm and somewhat defensive about the board's value, suggesting a moderate level of frustration but also a willingness to engage. There is a basic level of respect and trust, but limited rapport or alignment on the price.",0.3125
C_4566b2e6938a4a6a8e714e799d780e71,120,200,145.0,4,Seller,"No, that offer is too low. The board is pretty much brand new as it's been ridden only 4 or 5 times.  The bone bearings are brand new.",Rejecting a low offer and justifying the price with product condition details,"user1 (Buyer):
  warmth: high
  competence: high
  explanation: The buyer engages politely and shows interest by asking questions, indicating warmth. Their negotiation skills and willingness to compromise by offering to pick up the item demonstrate competence.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller provides information about the product and responds to the buyer's offer, showing competence. However, their responses are brief and lack engagement, indicating lower warmth.","The conversation begins with the buyer expressing interest and inquiring about the product's details. The seller provides some information but lacks specifics. The buyer then attempts to negotiate the price, while the seller maintains a firm stance on the board's value, emphasizing its condition and new components. The buyer continues to negotiate, suggesting a compromise by offering to pick up the item, indicating a willingness to reach a mutually agreeable deal.","In this negotiation, participants manage face-threatening acts (FTAs) and face-raising acts (FRAs) using politeness strategies to maintain cooperation. The buyer's interest in the item raises the seller's positive face, while the seller respects the buyer's negative face by allowing conversation control. Despite potential FTAs, like admitting lack of knowledge or rejecting offers, both parties use justifications and compromises to mitigate threats. This balance of FTAs and FRAs fosters mutual respect and facilitates a constructive dialogue toward agreement.","The buyer is interested in purchasing a skateboard from the seller and inquires about its wood type. The seller doesn't know the specific wood but mentions the brand. The seller declines a low offer, stating the board is nearly new, with new bone bearings. The buyer proposes picking it up for $120.","The buyer seems interested and somewhat persistent, trying to negotiate the price, indicating a level of respect for the seller's position but also a desire to reach a compromise. The seller appears firm and somewhat defensive about the board's value, suggesting a moderate level of frustration but also a willingness to engage. There is a basic level of respect and trust, but limited rapport or alignment on the price.",0.3125
C_4566b2e6938a4a6a8e714e799d780e71,120,200,145.0,5,Buyer,If I picked it up at your location would you accpet 120?,Proposing a new offer with a condition for pickup,"user1 (Buyer):
  warmth: high
  competence: high
  explanation: The buyer engages politely and shows interest by asking questions, indicating warmth. Their negotiation skills and willingness to compromise by offering to pick up the item demonstrate competence.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller provides information about the product and responds to the buyer's offer, showing competence. However, their responses are brief and lack engagement, indicating lower warmth.","The conversation begins with the buyer expressing interest and inquiring about the product's details. The seller provides some information but lacks specifics. The buyer then attempts to negotiate the price, while the seller maintains a firm stance on the board's value, emphasizing its condition and new components. The buyer continues to negotiate, suggesting a compromise by offering to pick up the item, indicating a willingness to reach a mutually agreeable deal.","In this negotiation, participants manage face-threatening acts (FTAs) and face-raising acts (FRAs) using politeness strategies to maintain cooperation. The buyer's interest in the item raises the seller's positive face, while the seller respects the buyer's negative face by allowing conversation control. Despite potential FTAs, like admitting lack of knowledge or rejecting offers, both parties use justifications and compromises to mitigate threats. This balance of FTAs and FRAs fosters mutual respect and facilitates a constructive dialogue toward agreement.","The buyer is interested in purchasing a skateboard from the seller and inquires about its wood type. The seller doesn't know the specific wood but mentions the brand. The seller declines a low offer, stating the board is nearly new, with new bone bearings. The buyer proposes picking it up for $120.","The buyer seems interested and somewhat persistent, trying to negotiate the price, indicating a level of respect for the seller's position but also a desire to reach a compromise. The seller appears firm and somewhat defensive about the board's value, suggesting a moderate level of frustration but also a willingness to engage. There is a basic level of respect and trust, but limited rapport or alignment on the price.",0.3125
C_af8b847888704a0d91b3ad30393c0907,8700,14500,13000.0,0,Buyer,man thats a nice trak,Expressing admiration for the item,"user1 (Buyer):
  warmth: low
  competence: low
  explanation: The buyer's approach is aggressive and dismissive, showing little regard for the seller's position, which lowers perceived warmth. The lowball offer and lack of negotiation strategy suggest low competence in bargaining.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller is firm and straightforward, which can be perceived as lacking warmth. However, their ability to maintain a reasonable price point and articulate a counteroffer indicates high competence in negotiation.","The conversation begins with the buyer expressing admiration for the item, followed by an attempt to negotiate a lower price. The buyer employs a strategy of feigned disinterest to pressure the seller into accepting a lower offer. The seller, however, remains firm and counters with a minimal reduction, indicating a reluctance to significantly lower the price. The negotiation reflects a persistent disparity in valuation between the buyer and seller.","In the buyer-seller conversation, face-threatening acts (FTAs) and face-raising acts (FRAs) shape the interaction. The buyer starts with a compliment, raising the seller's positive face. However, a low offer threatens the seller's negative face, challenging their autonomy. The seller defends their position, reasserting control. The buyer then softens their stance with a higher offer, mitigating the threat. The seller counters with a firm yet flexible proposal, balancing autonomy with negotiation. Politeness strategies maintain respect and openness amid bargaining tension.","The buyer is interested in purchasing a track from the seller and offers $8,000, then $8,200. The seller finds these offers too low and counters with a minimum price of $14,000, indicating they can't reduce the price by $6,000.","The buyer seems to be attempting to negotiate assertively, possibly undervaluing the seller's offer, which may indicate a lack of respect or alignment. The seller maintains a firm stance on the price, suggesting a lack of trust in the buyer's valuation and a potential frustration with the negotiation. There appears to be low rapport and alignment between them, as both parties are focused on their own interests without much compromise.",0.7413793103448276
C_af8b847888704a0d91b3ad30393c0907,8700,14500,13000.0,1,Seller,yes its really nice,Agreeing with the buyer's admiration,"user1 (Buyer):
  warmth: low
  competence: low
  explanation: The buyer's approach is aggressive and dismissive, showing little regard for the seller's position, which lowers perceived warmth. The lowball offer and lack of negotiation strategy suggest low competence in bargaining.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller is firm and straightforward, which can be perceived as lacking warmth. However, their ability to maintain a reasonable price point and articulate a counteroffer indicates high competence in negotiation.","The conversation begins with the buyer expressing admiration for the item, followed by an attempt to negotiate a lower price. The buyer employs a strategy of feigned disinterest to pressure the seller into accepting a lower offer. The seller, however, remains firm and counters with a minimal reduction, indicating a reluctance to significantly lower the price. The negotiation reflects a persistent disparity in valuation between the buyer and seller.","In the buyer-seller conversation, face-threatening acts (FTAs) and face-raising acts (FRAs) shape the interaction. The buyer starts with a compliment, raising the seller's positive face. However, a low offer threatens the seller's negative face, challenging their autonomy. The seller defends their position, reasserting control. The buyer then softens their stance with a higher offer, mitigating the threat. The seller counters with a firm yet flexible proposal, balancing autonomy with negotiation. Politeness strategies maintain respect and openness amid bargaining tension.","The buyer is interested in purchasing a track from the seller and offers $8,000, then $8,200. The seller finds these offers too low and counters with a minimum price of $14,000, indicating they can't reduce the price by $6,000.","The buyer seems to be attempting to negotiate assertively, possibly undervaluing the seller's offer, which may indicate a lack of respect or alignment. The seller maintains a firm stance on the price, suggesting a lack of trust in the buyer's valuation and a potential frustration with the negotiation. There appears to be low rapport and alignment between them, as both parties are focused on their own interests without much compromise.",0.7413793103448276
C_af8b847888704a0d91b3ad30393c0907,8700,14500,13000.0,2,Buyer,how about you give it to me for 8000,Initiating a price negotiation,"user1 (Buyer):
  warmth: low
  competence: low
  explanation: The buyer's approach is aggressive and dismissive, showing little regard for the seller's position, which lowers perceived warmth. The lowball offer and lack of negotiation strategy suggest low competence in bargaining.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller is firm and straightforward, which can be perceived as lacking warmth. However, their ability to maintain a reasonable price point and articulate a counteroffer indicates high competence in negotiation.","The conversation begins with the buyer expressing admiration for the item, followed by an attempt to negotiate a lower price. The buyer employs a strategy of feigned disinterest to pressure the seller into accepting a lower offer. The seller, however, remains firm and counters with a minimal reduction, indicating a reluctance to significantly lower the price. The negotiation reflects a persistent disparity in valuation between the buyer and seller.","In the buyer-seller conversation, face-threatening acts (FTAs) and face-raising acts (FRAs) shape the interaction. The buyer starts with a compliment, raising the seller's positive face. However, a low offer threatens the seller's negative face, challenging their autonomy. The seller defends their position, reasserting control. The buyer then softens their stance with a higher offer, mitigating the threat. The seller counters with a firm yet flexible proposal, balancing autonomy with negotiation. Politeness strategies maintain respect and openness amid bargaining tension.","The buyer is interested in purchasing a track from the seller and offers $8,000, then $8,200. The seller finds these offers too low and counters with a minimum price of $14,000, indicating they can't reduce the price by $6,000.","The buyer seems to be attempting to negotiate assertively, possibly undervaluing the seller's offer, which may indicate a lack of respect or alignment. The seller maintains a firm stance on the price, suggesting a lack of trust in the buyer's valuation and a potential frustration with the negotiation. There appears to be low rapport and alignment between them, as both parties are focused on their own interests without much compromise.",0.7413793103448276
C_af8b847888704a0d91b3ad30393c0907,8700,14500,13000.0,3,Seller,That is way too little,Rejecting the buyer's initial offer,"user1 (Buyer):
  warmth: low
  competence: low
  explanation: The buyer's approach is aggressive and dismissive, showing little regard for the seller's position, which lowers perceived warmth. The lowball offer and lack of negotiation strategy suggest low competence in bargaining.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller is firm and straightforward, which can be perceived as lacking warmth. However, their ability to maintain a reasonable price point and articulate a counteroffer indicates high competence in negotiation.","The conversation begins with the buyer expressing admiration for the item, followed by an attempt to negotiate a lower price. The buyer employs a strategy of feigned disinterest to pressure the seller into accepting a lower offer. The seller, however, remains firm and counters with a minimal reduction, indicating a reluctance to significantly lower the price. The negotiation reflects a persistent disparity in valuation between the buyer and seller.","In the buyer-seller conversation, face-threatening acts (FTAs) and face-raising acts (FRAs) shape the interaction. The buyer starts with a compliment, raising the seller's positive face. However, a low offer threatens the seller's negative face, challenging their autonomy. The seller defends their position, reasserting control. The buyer then softens their stance with a higher offer, mitigating the threat. The seller counters with a firm yet flexible proposal, balancing autonomy with negotiation. Politeness strategies maintain respect and openness amid bargaining tension.","The buyer is interested in purchasing a track from the seller and offers $8,000, then $8,200. The seller finds these offers too low and counters with a minimum price of $14,000, indicating they can't reduce the price by $6,000.","The buyer seems to be attempting to negotiate assertively, possibly undervaluing the seller's offer, which may indicate a lack of respect or alignment. The seller maintains a firm stance on the price, suggesting a lack of trust in the buyer's valuation and a potential frustration with the negotiation. There appears to be low rapport and alignment between them, as both parties are focused on their own interests without much compromise.",0.7413793103448276
C_af8b847888704a0d91b3ad30393c0907,8700,14500,13000.0,4,Buyer,i realy dont need it but i can pay you 8200 if you let it go,Increasing the offer slightly and expressing a lack of strong need,"user1 (Buyer):
  warmth: low
  competence: low
  explanation: The buyer's approach is aggressive and dismissive, showing little regard for the seller's position, which lowers perceived warmth. The lowball offer and lack of negotiation strategy suggest low competence in bargaining.

user2 (Seller):
  warmth: low
  competence: high
  explanation: The seller is firm and straightforward, which can be perceived as lacking warmth. However, their ability to maintain a reasonable price point and articulate a counteroffer indicates high competence in negotiation.","The conversation begins with the buyer expressing admiration for the item, followed by an attempt to negotiate a lower price. The buyer employs a strategy of feigned disinterest to pressure the seller into accepting a lower offer. The seller, however, remains firm and counters with a minimal reduction, indicating a reluctance to significantly lower the price. The negotiation reflects a persistent disparity in valuation between the buyer and seller.","In the buyer-seller conversation, face-threatening acts (FTAs) and face-raising acts (FRAs) shape the interaction. The buyer starts with a compliment, raising the seller's positive face. However, a low offer threatens the seller's negative face, challenging their autonomy. The seller defends their position, reasserting control. The buyer then softens their stance with a higher offer, mitigating the threat. The seller counters with a firm yet flexible proposal, balancing autonomy with negotiation. Politeness strategies maintain respect and openness amid bargaining tension.","The buyer is interested in purchasing a track from the seller and offers $8,000, then $8,200. The seller finds these offers too low and counters with a minimum price of $14,000, indicating they can't reduce the price by $6,000.","The buyer seems to be attempting to negotiate assertively, possibly undervaluing the seller's offer, which may indicate a lack of respect or alignment. The seller maintains a firm stance on the price, suggesting a lack of trust in the buyer's valuation and a potential frustration with the negotiation. There appears to be low rapport and alignment between them, as both parties are focused on their own interests without much compromise.",0.7413793103448276
