dialogue_id,predicted_class,predicted_label,confidence
20180719-181845_211_live,0,expressed_donate_did,0.8333722352981567
20180719-211301_463_live,1,expressed_donate_donated,0.9021485805511474
20180723-031022_254_live,1,expressed_donate_donated,0.9101291179656983
20180723-042421_113_live,0,expressed_donate_did,0.8276480793952942
20180723-061928_535_live,1,expressed_donate_donated,0.9076602220535278
20180723-073908_711_live,1,expressed_donate_donated,0.9105714440345765
20180723-091419_371_live,0,expressed_donate_did,0.8201261043548584
20180723-101530_805_live,0,expressed_donate_did,0.8252104997634888
20180808-001810_178_live,3,no_express_no_donate,0.9062184691429138
20180808-032354_369_live,0,expressed_donate_did,0.8983476907014847
20180808-034448_815_live,0,expressed_donate_did,0.8968265652656555
20180824-130121_505_live,1,expressed_donate_donated,0.9015177845954895
20180825-060251_387_live,1,expressed_donate_donated,0.8960236072540283
20180825-064001_264_live,1,expressed_donate_donated,0.9018406271934509
20180825-064838_945_live,0,expressed_donate_did,0.8217237830162049
20180825-071459_643_live,1,expressed_donate_donated,0.9214094519615174
20180825-071727_819_live,1,expressed_donate_donated,0.9016355276107788
20180825-073559_995_live,0,expressed_donate_did,0.8398666143417358
20180825-075844_569_live,0,expressed_donate_did,0.8982779681682587
20180825-083745_516_live,0,expressed_donate_did,0.8343272686004639
20180825-084254_215_live,1,expressed_donate_donated,0.8970471739768981
20180825-085214_779_live,0,expressed_donate_did,0.8352974653244019
20180825-091558_618_live,0,expressed_donate_did,0.8994978666305542
20180825-102556_172_live,1,expressed_donate_donated,0.9043774485588074
20180825-111850_152_live,1,expressed_donate_donated,0.8855723142623901
20180826-011431_343_live,0,expressed_donate_did,0.8436897158622741
20180826-013831_953_live,1,expressed_donate_donated,0.8979186415672302
20180826-052222_969_live,1,expressed_donate_donated,0.9054661512374877
20180826-060201_521_live,0,expressed_donate_did,0.8226528167724609
20180826-061846_932_live,1,expressed_donate_donated,0.9099463582038879
20180826-062356_655_live,0,expressed_donate_did,0.8989415466785431
20180826-062736_188_live,0,expressed_donate_did,0.8240387797355652
20180826-180300_663_live,0,expressed_donate_did,0.8244097113609314
20180826-181249_805_live,1,expressed_donate_donated,0.825475561618805
20180826-182047_49_live,0,expressed_donate_did,0.8207350134849548
20180826-182522_887_live,0,expressed_donate_did,0.8258767366409302
20180827-021816_456_live,1,expressed_donate_donated,0.9046835541725159
20180827-024612_480_live,0,expressed_donate_did,0.897270992398262
20180827-051440_378_live,0,expressed_donate_did,0.8332078695297241
20180904-012828_299_live,0,expressed_donate_did,0.8199500560760498
20180904-030739_178_live,0,expressed_donate_did,0.8200907826423645
