dataset,dialogue_id,utterance_idx,speaker,utterance,gpt-4o_speaker_intention,Salary,Position,Weekly holiday,Workplace,Company
ji,886d9792-1d6e-11e9-982d-6c96cfdf0295,0,worker,yea,expressing agreement or acknowledgment,35.0,Designer,4.0,Tokyo,Apple
ji,886d9792-1d6e-11e9-982d-6c96cfdf0295,1,worker,let me know what u got,requesting information or options from the recruiter,35.0,Designer,4.0,Tokyo,Apple
ji,886eee12-1d6e-11e9-8f4b-6c96cfdf0295,0,worker,Hello,Initiate conversation,26.0,Manager,2.0,Tokyo,Amazon
ji,886eee12-1d6e-11e9-8f4b-6c96cfdf0295,1,recruiter,Good morning!  What's important to you?,Inquire about worker's priorities,26.0,Manager,2.0,Tokyo,Amazon
ji,886eee12-1d6e-11e9-8f4b-6c96cfdf0295,2,worker,Salary is first,Express priority on salary,26.0,Manager,2.0,Tokyo,Amazon
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,0,recruiter,hello,Initiate conversation,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,1,worker,Hi,Respond to greeting,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,2,recruiter,I have a position open as an engineer at google.,Inform about job opportunity,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,3,recruiter,are you interested?,Inquire about interest,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,4,worker,yes,Express interest,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,5,recruiter,The position is in Tokyo. It pays $35/hr and it is 4 days a week.,Provide job details,47.0,Engineer,4.0,Beijing,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,0,recruiter,Hi there,Initiate conversation,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,1,recruiter,"I believe I have high importance in the company, but a low expected salary. I would like to start with a higher salary.",Express belief about their role and desire for a higher salary,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,2,recruiter,Are you avilable?,Inquire about worker's availability,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,3,worker,Hello.I propose a higher starting salary,Propose a higher starting salary,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,4,recruiter,What do you think you deserve?,Request worker's opinion on deserved salary,35.0,Engineer,4.0,Tokyo,Google
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,0,worker,hi,greet the recruiter,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,1,recruiter,hi,greet the worker,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,2,worker,how about salary 35,propose a salary of 35,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,3,recruiter,maybe 25?,negotiate a lower salary of 25,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,4,worker,what about 30,compromise by proposing a salary of 30,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,5,recruiter,too much,express that 30 is too high,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,6,worker,28,propose a salary of 28,27.0,Designer,3.0,Sydney,Facebook
ji,887ccae6-1d6e-11e9-8d9d-6c96cfdf0295,0,worker,Hello,Initiate conversation,35.0,Engineer,4.0,Tokyo,Apple
ji,887ccae6-1d6e-11e9-8d9d-6c96cfdf0295,1,recruiter,Hello,Respond to greeting,35.0,Engineer,4.0,Tokyo,Apple
ji,887ccae6-1d6e-11e9-8d9d-6c96cfdf0295,2,worker,How are you doing?,Express interest in the recruiter's well-being,35.0,Engineer,4.0,Tokyo,Apple
ji,887d8062-1d6e-11e9-a735-6c96cfdf0295,0,recruiter,hello,greet the worker,45.0,Designer,4.0,Tokyo,Facebook
ji,887d8062-1d6e-11e9-a735-6c96cfdf0295,1,worker,Hi,respond to the greeting,45.0,Designer,4.0,Tokyo,Facebook
ji,887d8062-1d6e-11e9-a735-6c96cfdf0295,2,worker,how about 40?,propose a salary of 40,45.0,Designer,4.0,Tokyo,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,0,recruiter,Hello,To initiate the conversation,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,1,worker,hi!,To acknowledge the greeting and reciprocate,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,2,worker,I am looking for a job as an engineer,To express the desire to find a job as an engineer,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,3,recruiter,ok,To acknowledge the worker's job interest,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,4,recruiter,I can offer $35/hour,To propose an initial salary offer,35.0,Engineer,3.0,Beijing,Facebook
ji,8882f5ec-1d6e-11e9-8051-6c96cfdf0295,0,worker,hi,greet the recruiter,35.0,Engineer,4.0,Tokyo,Google
ji,8882f5ec-1d6e-11e9-8051-6c96cfdf0295,1,worker,above average salary with 2 week vacation,express desire for a job with above average salary and 2-week vacation,35.0,Engineer,4.0,Tokyo,Google
ji,8882f5ec-1d6e-11e9-8051-6c96cfdf0295,2,recruiter,hi,greet the worker,35.0,Engineer,4.0,Tokyo,Google
ji,88844640-1d6e-11e9-a8eb-6c96cfdf0295,0,recruiter,Hello how are you?,To initiate the conversation and establish rapport,39.0,Designer,5.0,Beijing,Apple
ji,88844640-1d6e-11e9-a8eb-6c96cfdf0295,1,worker,"I'm doing great, and yourself?",To reciprocate the greeting and establish rapport,39.0,Designer,5.0,Beijing,Apple
ji,88844640-1d6e-11e9-a8eb-6c96cfdf0295,2,recruiter,I think I have a good proposal for you!,To express enthusiasm and introduce a proposal,39.0,Designer,5.0,Beijing,Apple
ji,88844640-1d6e-11e9-a8eb-6c96cfdf0295,3,recruiter,Tell me what you think of this!,To invite feedback on the proposal,39.0,Designer,5.0,Beijing,Apple
ji,8886ea26-1d6e-11e9-9e86-6c96cfdf0295,0,worker,"Yeah sure, I'm easy",Expressing flexibility or openness,35.0,Engineer,4.0,Tokyo,Google
ji,8886ea26-1d6e-11e9-9e86-6c96cfdf0295,1,worker,Salary is important,Emphasizing the importance of salary,35.0,Engineer,4.0,Tokyo,Google
ji,8886ea26-1d6e-11e9-9e86-6c96cfdf0295,2,recruiter,hello,Greeting and initiating conversation,35.0,Engineer,4.0,Tokyo,Google
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,0,worker,Hi there,Initiate conversation,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,1,recruiter,Hello - how are you?,Engage in polite social interaction,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,2,worker,"Good, thanks. And you?",Respond politely and reciprocate inquiry,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,3,recruiter,Great - thanks for asking.,Express gratitude and maintain polite interaction,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,4,recruiter,I think I can help you find a job.,Express confidence in ability to assist,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,5,recruiter,Tell me what you think of this opportunity.,Request feedback on a job opportunity,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,6,worker,"That would be great. I am very interested in a sales position, preferably with Amazon or Facebook",Express interest and specify job preferences,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,7,recruiter,This is the best I can do.,Present a job offer,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,8,recruiter,Would you like to accept this?,Inquire about acceptance of the offer,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,9,worker,"No, I'm sorry. I am able to accept that position. It is very important to me to work in a sales role as that is where my experience is.",Decline the offer and explain preference for a sales role,42.0,Sales,2.0,Tokyo,Amazon
ji,888843a8-1d6e-11e9-bec7-6c96cfdf0295,0,worker,Hello!,To greet the recruiter and initiate the conversation,30.0,Sales,3.0,Beijing,Google
ji,888843a8-1d6e-11e9-bec7-6c96cfdf0295,1,recruiter,"Hello, how are you",To greet the worker and inquire about their well-being,30.0,Sales,3.0,Beijing,Google
ji,888c8724-1d6e-11e9-8a1f-6c96cfdf0295,0,worker,"I am looking for a job, do you have any positions available",To inquire about job availability,27.0,Designer,3.0,Beijing,Google
ji,888c8724-1d6e-11e9-8a1f-6c96cfdf0295,1,recruiter,yes we do,To confirm the availability of positions,27.0,Designer,3.0,Beijing,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,0,recruiter,hello,To initiate the conversation,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,1,worker,Hello,To acknowledge the greeting,27.0,Sales,5.0,Seoul,Google
