dialogue_id,predicted_class,predicted_label,confidence
20180717-200206_41_live,3,no_express_no_donate,0.8754925727844238
20180719-120436_413_live,0,expressed_donate_did,0.934769356250763
20180723-025150_733_live,1,expressed_donate_donated,0.9835101664066315
20180723-042226_724_live,1,expressed_donate_donated,0.9530503392219544
20180723-042344_940_live,0,expressed_donate_did,0.9681240081787109
20180723-074147_879_live,0,expressed_donate_did,0.9584041833877563
20180723-080158_200_live,3,no_express_no_donate,0.9329338431358337
20180723-113128_856_live,1,expressed_donate_donated,0.9062474846839905
20180808-022005_838_live,0,expressed_donate_did,0.9827757358551026
20180808-022730_384_live,0,expressed_donate_did,0.9627730846405029
20180808-035715_390_live,1,expressed_donate_donated,0.8490938782691956
20180808-042339_620_live,0,expressed_donate_did,0.9563109517097473
20180808-062753_12_live,0,expressed_donate_did,0.9751273155212402
20180808-064212_144_live,0,expressed_donate_did,0.9717212557792664
20180808-065307_529_live,3,no_express_no_donate,0.8360618233680726
20180824-020419_695_live,0,expressed_donate_did,0.8994326949119568
20180824-022557_24_live,3,no_express_no_donate,0.8930732250213623
20180824-023730_85_live,0,expressed_donate_did,0.8720801830291748
20180824-120504_474_live,3,no_express_no_donate,0.9356031060218811
20180825-043229_970_live,0,expressed_donate_did,0.9585237503051758
20180825-050306_247_live,0,expressed_donate_did,0.9651524782180786
20180825-052611_640_live,3,no_express_no_donate,0.9191616654396058
20180825-055034_34_live,0,expressed_donate_did,0.9297687113285065
20180825-061105_792_live,1,expressed_donate_donated,0.9616881251335144
20180825-064038_102_live,3,no_express_no_donate,0.9282562375068665
20180825-073629_433_live,0,expressed_donate_did,0.9381345510482788
20180825-080802_964_live,1,expressed_donate_donated,0.9594351649284363
20180825-085908_923_live,0,expressed_donate_did,0.9733884692192077
20180826-013529_897_live,1,expressed_donate_donated,0.9987569898366928
20180826-061949_863_live,0,expressed_donate_did,0.9775435090065002
20180826-173836_197_live,0,expressed_donate_did,0.9825230240821838
20180826-174120_426_live,1,expressed_donate_donated,0.9069729685783386
20180826-174459_637_live,0,expressed_donate_did,0.9544032573699951
20180826-180009_407_live,0,expressed_donate_did,0.9635441422462463
20180827-004200_630_live,1,expressed_donate_donated,0.9588699698448181
20180828-151914_101_live,1,expressed_donate_donated,0.9974462389945984
20180828-165639_960_live,0,expressed_donate_did,0.9500177264213562
20180829-084042_694_live,0,expressed_donate_did,0.9689317345619202
20180903-094545_472_live,0,expressed_donate_did,0.8894123673439026
20180904-004818_580_live,1,expressed_donate_donated,0.9540732383728028
